ID,Name,Category,Price,Quantity,SKU,Barcode,Supplier,Last Restock Date,Low Stock Threshold,Weight (lbs),Dimensions (in),Status
1,Widget A,Electronics,19.99,150,WID-A123,123456789012,Supplier X,2025-02-20,20,0.5,6x3x2,In Stock
2,Widget B,Electronics,29.99,75,WID-B456,123456789013,Supplier Y,2025-02-18,10,0.7,6x4x2,In Stock
3,Widget C,Home Goods,9.99,200,WID-C789,123456789014,Supplier Z,2025-01-15,30,1.0,8x5x3,In Stock
4,Widget D,Home Goods,15.99,60,WID-D012,123456789015,Supplier X,2025-02-25,15,1.2,10x6x4,Out of Stock
5,Widget E,Clothing,25.99,150,WID-E345,123456789016,Supplier Y,2025-02-10,50,0.3,12x8x1,In Stock
6,Widget F,Clothing,18.99,90,WID-F678,123456789017,Supplier Z,2025-02-02,20,0.4,12x9x2,In Stock
7,Widget G,Beauty,12.99,200,WID-G901,123456789018,Supplier X,2025-02-12,25,0.2,3x3x3,In Stock
8,Widget H,Beauty,8.99,120,WID-H234,123456789019,Supplier Y,2025-01-29,30,0.3,5x4x2,In Stock
9,Widget I,Toys,14.99,50,WID-I567,123456789020,Supplier Z,2025-01-15,10,0.6,8x4x3,In Stock
10,Widget J,Toys,22.99,150,WID-J890,123456789021,Supplier X,2025-02-19,25,0.8,7x5x3,In Stock
11,Widget K,Electronics,49.99,30,WID-K123,123456789022,Supplier Y,2025-01-22,5,0.9,7x5x3,In Stock
12,Widget L,Home Goods,12.99,85,WID-L456,123456789023,Supplier X,2025-02-01,15,1.3,9x6x4,In Stock
13,Widget M,Clothing,19.99,50,WID-M789,123456789024,Supplier Z,2025-02-15,20,0.5,14x8x2,In Stock
14,Widget N,Clothing,29.99,200,WID-N012,123456789025,Supplier Y,2025-02-10,30,0.4,13x7x1,In Stock
15,Widget O,Beauty,16.99,75,WID-O345,123456789026,Supplier X,2025-02-18,20,0.3,4x3x3,In Stock
16,Widget P,Beauty,9.99,150,WID-P678,123456789027,Supplier Z,2025-01-25,25,0.5,5x4x2,In Stock
17,Widget Q,Toys,11.99,60,WID-Q901,123456789028,Supplier X,2025-02-12,15,0.6,6x5x3,In Stock
18,Widget R,Toys,13.99,100,WID-R234,123456789029,Supplier Y,2025-02-20,30,0.7,7x5x2,In Stock
19,Widget S,Sports,24.99,50,WID-S567,123456789030,Supplier Z,2025-01-18,10,1.5,14x9x4,In Stock
20,Widget T,Sports,32.99,120,WID-T890,123456789031,Supplier X,2025-02-11,25,1.7,13x8x4,In Stock
21,UltraMax Blender,Electronics,79.99,45,BLEND-X23,987654321001,Supplier A,2025-02-10,5,2.5,12x8x7,In Stock
22,Smartwatch Pro,Electronics,149.99,60,SMART-W456,987654321002,Supplier B,2025-01-30,10,0.4,3x3x1,In Stock
23,Floral Vase,Home Goods,19.99,30,VASE-F123,987654321003,Supplier C,2025-01-20,8,1.2,7x7x9,Out of Stock
24,Casual Sneakers,Clothing,39.99,120,SNEAK-C789,987654321004,Supplier D,2025-02-15,15,1.0,10x7x4,In Stock
25,Portable Speaker,Electronics,59.99,200,SPEAK-P456,987654321005,Supplier A,2025-02-07,20,1.3,6x6x3,In Stock
26,Green Tea Set,Beauty,18.99,80,TEA-G234,987654321006,Supplier B,2025-01-28,15,0.7,5x5x4,In Stock
27,Kids Scooter,Toys,29.99,50,SCOOT-K567,987654321007,Supplier C,2025-02-18,10,3.0,25x10x5,In Stock
28,Camping Tent,Sports,129.99,40,TENT-C890,987654321008,Supplier D,2025-02-22,5,7.0,72x24x12,In Stock
29,Yoga Mat,Sports,24.99,150,MAT-Y123,987654321009,Supplier A,2025-02-05,20,1.5,24x6x4,In Stock
30,Herbal Shampoo,Beauty,9.99,200,SHAM-H456,987654321010,Supplier B,2025-02-14,30,0.4,8x3x3,In Stock
31,Electric Kettle,Home Goods,29.99,65,KETT-EL123,987654321011,Supplier E,2025-02-10,10,1.8,9x7x8,In Stock
32,Fitness Tracker,Electronics,89.99,120,FIT-TK456,987654321012,Supplier F,2025-01-22,15,0.2,2x1x1,In Stock
33,Wooden Coffee Table,Home Goods,129.99,30,TABL-W789,987654321013,Supplier G,2025-01-15,5,15.0,48x24x18,In Stock
34,Leather Jacket,Clothing,199.99,40,JACK-L234,987654321014,Supplier H,2025-02-11,5,2.0,18x12x4,In Stock
35,Face Mask,Beauty,4.99,200,FACEMASK-B345,987654321015,Supplier I,2025-02-20,25,0.2,6x4x0.5,In Stock
36,Remote Control Car,Toys,34.99,80,CAR-R678,987654321016,Supplier J,2025-02-05,10,1.5,10x7x5,In Stock
37,Electric Skateboard,Sports,349.99,10,SKATE-EL123,987654321017,Supplier K,2025-02-14,3,20.0,36x12x6,Out of Stock
38,Sport Sunglasses,Sports,49.99,60,SUNG-S345,987654321018,Supplier L,2025-02-08,15,0.2,7x3x3,In Stock
